meeting_id,duration_minutes
EN2001a,85.48000228007635
EN2001b,57.30899804830551
EN2001d,55.709999020894365
EN2001e,66.03099804688244
EN2002a,35.68700146476428
EN2002b,29.657665689786274
EN2002c,47.80716813405355
EN2002d,36.44983530044556
EN2003a,37.083999188741046
EN2004a,57.414165527373555
EN2005a,88.27050000000744
EN2006a,58.543165858586626
EN2006b,49.74716862042745
EN2009b,37.08183349606892
EN2009c,49.097835286458334
EN2009d,85.34349804688244
ES2002a,17.623332468668618
ES2002b,35.8001682917277
ES2002c,40.09349804688245
ES2002d,39.931500812371574
ES2003a,18.609332354863486
ES2003b,34.924667803446454
ES2003c,37.33683463732402
ES2003d,39.019499348973234
ES2004a,17.465333984295526
ES2004b,38.98483398432533
ES2004c,38.81083203125745
ES2004d,36.966498696804045
ES2005a,5.094166849801938
ES2005b,38.26416862010956
ES2005c,37.6596674601237
ES2005d,27.036500867207845
ES2006a,21.214665778477986
ES2006b,36.10599869092305
ES2006c,36.2898334980011
ES2006d,32.76616617838542
ES2007a,19.97066593170166
ES2007b,27.95616691081474
ES2007c,39.519167971611026
ES2007d,20.788499267585575
ES2008a,16.803166739145915
ES2008b,36.32166633605957
ES2008c,34.29300111134847
ES2008d,43.066500981648765
ES2009a,23.267167480786643
ES2009b,23.778166830539703
ES2009c,32.433000159263614
ES2009d,34.88899933497111
ES2010a,10.34033342997233
ES2010b,27.767666880289713
ES2010c,29.97900047302246
ES2010d,16.011332972844443
ES2011a,17.979667472839356
ES2011b,25.656665674845378
ES2011c,25.586500549316405
ES2011d,31.838999048868814
ES2012a,18.032667064666747
ES2012b,36.39400018056234
ES2012c,36.48666764895121
ES2012d,15.629833698272705
ES2013a,13.306167062123617
ES2013b,35.33716536362966
ES2013c,38.29849802652995
ES2013d,31.318834241231283
ES2014a,17.918333689371746
ES2014b,37.6564993540446
ES2014c,36.356835174560544
ES2014d,48.426501790372036
ES2015a,17.94800027211507
ES2015b,37.74216601053874
ES2015c,34.920501772562666
ES2015d,31.199000740051268
ES2016a,22.794165929158527
ES2016b,39.83750162124634
ES2016c,37.83099934260051
ES2016d,25.02149918874105
IB4001,29.266832439104714
IB4002,31.010999431212742
IB4003,32.26966609954834
IB4004,39.5849986979117
IB4005,33.5421674804762
IB4010,48.140167490641275
IB4011,39.262665367126466
IN1001,56.81383221944173
IN1002,40.28016637166341
IN1005,45.55800177256266
IN1007,39.49683398405711
IN1008,55.74799887339274
IN1009,19.46183287302653
IN1012,50.84933252334595
IN1013,50.318498357137045
IN1014,60.99599838256836
IN1016,58.58216616312663
IS1000a,24.605999755859376
IS1000b,35.08149846394857
IS1000c,34.491666348775226
IS1000d,42.73199902375539
IS1001a,14.737499682108561
IS1001b,34.506001790364586
IS1001c,23.241167004903158
IS1001d,12.435666338602703
IS1002b,37.427498245239256
IS1002c,34.12083463668823
IS1002d,20.769666667779287
IS1003a,12.412000274658203
IS1003b,25.628833770751953
IS1003c,29.87250010172526
IS1003d,34.123500188191734
IS1004a,12.165166409810384
IS1004b,35.01900100708008
IS1004c,36.90000193913777
IS1004d,31.839166355133056
IS1005a,15.922666708628336
IS1005b,35.24283479054769
IS1005c,32.78700040181478
IS1006a,13.32650032043457
IS1006b,35.138832028706865
IS1006c,31.613833077748616
IS1006d,29.638332684834797
IS1007a,14.593000221252442
IS1007b,20.405166244506837
IS1007c,33.534667778015134
IS1007d,32.33833389282226
IS1008a,14.47849998474121
IS1008b,28.34966583251953
IS1008c,24.826166248321535
IS1008d,23.44683405558268
IS1009a,12.508999824523926
IS1009b,33.11783358256022
IS1009c,29.135499890645345
IS1009d,31.42983404795329
TS3003a,24.36600073178609
TS3003b,34.84716567993164
TS3003c,37.64583349227905
TS3003d,42.98166569073995
TS3004a,22.029833173751832
TS3004b,36.23699824015299
TS3004c,40.104668108622235
TS3004d,45.54933268229167
TS3005a,20.946499665578205
TS3005b,39.854500977198285
TS3005c,35.917333984375
TS3005d,43.94616682926814
TS3006a,19.84799925486247
TS3006b,38.69416796366374
TS3006c,41.79033432006836
TS3006d,49.11400016148885
TS3007a,25.935499270757038
TS3007b,42.28333186705907
TS3007c,40.43683365980784
TS3007d,44.314335123697916
TS3008a,21.621499093373618
TS3008b,37.919000164667764
TS3008c,37.22533264160156
TS3008d,44.84449971516927
TS3009a,24.79233374595642
TS3009b,39.774167950948076
TS3009c,40.29800014495849
TS3009d,33.633501815795896
TS3010a,15.05850035349528
TS3010b,30.826166534423827
TS3010c,33.38816731770833
TS3010d,29.474166091283163
TS3011a,24.622332843144736
TS3011b,36.1739990234375
TS3011c,38.55883203148842
TS3011d,31.94249979654948
TS3012a,13.848499592145284
TS3012b,40.615831704934436
TS3012c,39.51383154392242
TS3012d,38.52399837176005
